"VideoAnalysis: Time (s)","VideoAnalysis: X Wrist (m)","VideoAnalysis: Y Wrist (m)","VideoAnalysis: X Elbow (m)","VideoAnalysis: Y Elbow (m)","VideoAnalysis: X Shoulder (m)","VideoAnalysis: Y Shoulder (m)","VideoAnalysis: X Ear (m)","VideoAnalysis: Y Ear (m)","VideoAnalysis: X Hip (m)","VideoAnalysis: Y Hip (m)","VideoAnalysis: X Knee (m)","VideoAnalysis: Y Knee (m)","VideoAnalysis: X Ankle (m)","VideoAnalysis: Y Ankle (m)","VideoAnalysis: X Toe (m)","VideoAnalysis: Y Toe (m)"
2.73333333333,-1.10108023508,-0.285660165342,-1.21726866608,-0.0493209918854,-0.990370350172,0.100775039965,-0.828823047746,0.283529221495,-0.949612926063,-0.442844672229,-0.707874156333,-0.81041061553,-0.606268116128,-1.22996581202,-0.418279458214,-1.24695135803
2.76666666667,-1.09658144289,-0.294032576967,-1.21649639351,-0.0516623261776,-0.990370350172,0.100068209195,-0.82447276736,0.277624440918,-0.958517955238,-0.453048351493,-0.719476781983,-0.824844122353,-0.632663092694,-1.22996581202,-0.420001246994,-1.24893358545
2.8,-1.07791206821,-0.300504953743,-1.21649639351,-0.0593237603796,-0.989605582454,0.0899640054106,-0.820458908658,0.277624440918,-0.953184213805,-0.461489577065,-0.725816360947,-0.836327133306,-0.662779415402,-1.24637960661,-0.434933062296,-1.2557483965
2.83333333333,-1.06479569861,-0.300603020058,-1.20917819156,-0.0765098895817,-0.986697147649,0.0824322021307,-0.818892807719,0.263123506299,-0.966367831217,-0.478453193841,-0.726613792263,-0.836327133306,-0.705269214033,-1.25450011552,-0.487382510427,-1.29271621443
2.86666666667,-1.04753602721,-0.306437965788,-1.19156302204,-0.09718963278,-0.971830526714,0.0680638389505,-0.818892807719,0.26090776349,-0.986589668304,-0.491903498325,-0.728301688549,-0.837204307754,-0.695381065712,-1.26541163403,-0.513874907537,-1.29864842787
2.9,-1.02576530532,-0.313523257032,-1.18156025355,-0.126278566158,-0.971830526714,0.0680638389505,-0.818892807719,0.256569083852,-0.998694942339,-0.501794110157,-0.755533967997,-0.851053031612,-0.731145860244,-1.26624893691,-0.535303220001,-1.30323504168
2.93333333333,-1.00784368629,-0.320204024727,-1.17823825568,-0.15410489518,-0.967601129487,0.0516792699693,-0.818892807719,0.248541366447,-0.969707217158,-0.49105705675,-0.755533967997,-0.851053031612,-0.750523441227,-1.26624893691,-0.56827764546,-1.32723880291
2.96666666667,-0.990105941606,-0.326517043742,-1.17040520535,-0.154730068211,-0.967601129487,0.0516792699693,-0.818892807719,0.232833954068,-0.98111678579,-0.497040123227,-0.755533967997,-0.851053031612,-0.797744665667,-1.26801657633,-0.635572096013,-1.34267702667
3,-0.966925516447,-0.330979061065,-1.1654038211,-0.16609350742,-0.967601129487,0.0357813713538,-0.818892807719,0.226325934611,-0.98111678579,-0.501875275788,-0.755533967997,-0.851053031612,-0.837616231477,-1.27981855981,-0.660183547398,-1.34354515547
3.03333333333,-0.942997335638,-0.337206272054,-1.1654038211,-0.16609350742,-0.967601129487,0.0357813713538,-0.817407912014,0.222010456468,-0.98111678579,-0.502605766462,-0.774007793489,-0.866709266453,-0.871068475191,-1.28065586269,-0.699133592741,-1.34354515547
